row_id,path,sha256,source_id,assignment_type,assignment_confidence,class_name,technical_match_plausible,orientation_projection_notes,border_annotation_notes,reviewer_comment
10276,/kaggle/input/chest-xray-dataset/train/normal/normal-5160.jpg,b6f6a4afc0cc246468a479ebb6436e365903e855a2572ab0a14fd9cbd97fea1c,latent_L1,latent,0.31999628828024496,Normal,,,,
6339,/kaggle/input/chest-xray-dataset/train/pneumonia/pneumonia-685.jpg,71983224d6a010e3d363e8f0cf83d774c50d1ad70e756306b94707ba986ca209,latent_L1,latent,0.47279996473816344,Pneumonia,,,,
7061,/kaggle/input/chest-xray-dataset/train/normal/normal-4259.jpg,7d9d183cf6b91cdcfeedc4b88cb23bf0241564b6667a034523bf569df925c7f8,latent_L1,latent,0.4839041111847757,Normal,,,,
1806,/kaggle/input/chest-xray-dataset/val/normal/normal-8466.jpg,208ebf97885c64d54675653f83d59d526f52e92aec594eebdc1060229134905a,latent_L1,latent,0.4293194794765902,Normal,,,,
11405,/kaggle/input/chest-xray-dataset/train/pneumonia/pneumonia-3026.jpg,cbdd467928132fd55c7b23393dbe5b7f4932dd0a12ecdb91cd58dbd03080f2cd,latent_L1,latent,0.3656949019219108,Pneumonia,,,,
10664,/kaggle/input/chest-xray-dataset/train/pneumonia/pneumonia-4268.jpg,bdd5470a121a439db9d07f34b82b1ab1d88eb4ab7f41378814b94c1baa5ffd2b,latent_L1,latent,0.3161588953598592,Pneumonia,,,,
4795,/kaggle/input/chest-xray-dataset/train/pneumonia/pneumonia-5154.jpg,54c5dda0eb6dd9d2e832560a8cfb7223ff3341b171861b400f96b595396d0e28,latent_L1,latent,0.6182061379016159,Pneumonia,,,,
4625,/kaggle/input/chest-xray-dataset/train/pneumonia/pneumonia-2919.jpg,51ee37b4dabfd70924351f4455510c164f79034eeb78a21909ae1f5345b4919e,latent_L1,latent,0.4573856904439476,Pneumonia,,,,
5893,/kaggle/input/chest-xray-dataset/train/pneumonia/pneumonia-935.jpg,695e5321467c5312432a09f017a737bce998e4ca0ac4ca926ff0a238b3400b8d,latent_L1,latent,0.3789725836077301,Pneumonia,,,,
1624,/kaggle/input/chest-xray-dataset/train/normal/normal-4540.jpg,1d1baaa2240d85a72d81800930d260dcb22bccc06d54a182168c906e9756d65e,latent_L1,latent,0.4083287775728469,Normal,,,,
5257,/kaggle/input/chest-xray-dataset/train/normal/normal-2636.jpg,5d3c157e67f472980478624350cf9c622fdc5afec52d38985109038e797ab110,latent_L1,latent,0.20117092877341058,Normal,,,,
12329,/kaggle/input/chest-xray-dataset/train/normal/normal-2796.jpg,dd0c69e8857fa67420018fdb035a2579c7d39137e421a9c674b89319bdd23723,latent_L1,latent,0.38616211090348107,Normal,,,,
3872,/kaggle/input/chest-xray-dataset/train/pneumonia/pneumonia-5050.jpg,44ef75849f763e00f9451a9b27e45796e137d84eac3c8cf6a23c4b3d138bc41d,latent_L1,latent,0.05566306268479937,Pneumonia,,,,
3489,/kaggle/input/chest-xray-dataset/train/normal/normal-5526.jpg,3e2feb2504c41aaf14115a15fc2e19218e9219ef3ed6e0b98952b926c419e684,latent_L1,latent,0.4111900116876822,Normal,,,,
2118,/kaggle/input/chest-xray-dataset/train/pneumonia/pneumonia-5004.jpg,265f0ddc1a8e94810ab52787180a9d8eec30ee192aaa2039d7c8b465e8d612ac,latent_L1,latent,0.41492573028753943,Pneumonia,,,,
5164,/kaggle/input/chest-xray-dataset/val/tuberculosis/tuberculosis-10468.jpg,5b72f3b4a71d6cadc1eb66b7cca74118f6e93c79ebf9d7e0068432ab6ecd11ae,latent_L1,latent,0.18449987715019944,Tuberculosis,,,,
9856,/kaggle/input/chest-xray-dataset/train/normal/normal-3285.jpg,af87c9b1ad210ad7e49aaecc3a8117399dcdd26cb1f100ef2d58da98a2c2e968,latent_L1,latent,0.4722229356143668,Normal,,,,
